reponse,label
rester maison aller chercher amie vacance long vouloir voyager coucher jouer téléphone faire repas,1
voyager semaine fatigant aimer peinture natation tennis pouvoir constamment penser améliorer faire chose,1
concerner vacance idéal voyager goal sortir découvrir vraiment envie chill aimer randonnée aimer confort vraiment envie entourer rentrer chose aimer flemm voir ami devenir aigri saouler bout semaine maximum bouger aller obligatoire échec jeu stratégie social survivor the genius big brother internet aspect stratégique créer alliance adapter meilleur jeu aller loin vraiment passion moment vraiment prendre mentalement jouer 2 3 4 mois saison chose faire régulièrement essayer lire émotion intention super intéressant joue piano apprendre crochet côté celer aimer jeu vidéo visual novel maquillage permettre améliorer créativité adorer,1
vacance aimer peindre maison retrouver ami aller vide grenier aller ami dîner discuter vacance long pouvoir prévoir voyage lointain agréable ami activité préférer lecture exercice penser lecture permettre esprit faire exercice exercice permettre corps rester condition soir aller coucher prendre livre électronique lire temps livre économique roman agir livre science technologie pouvoir endormir temps besoin mélatonine exercice physique aide également passer nuit sommeil réveiller lendemain énergie,1
aller pays grand histoire visiter ruine monument découvrir culture profiter soleil plage sûr aide déconnecter quotidien vraiment relaxer passe temps aimer lire écrire jouer jeu vidéo faire shopping cuisiner liste long intéresser trouver dommage cantonner domaine curieux nature aimer découvrir chose pouvoir servir quotidien meilleur,1
play computer games such ns ps5 with family member or friends date with friends sorry can write in french chat with friends or family member,1
aimer vacance liberté absolu tâche supplémentaire besoin penser avenir pression travailler étudier aimer vacance épanouissant participe type activité chant danse sport ami shopping voyage chanter danser cuisinier voyager regarder film programme diversité dormir passe temps préférer raison explicite passe temps détendre,1
préférer jour week end prendre vacance hiver déjà aimer voyage aimer plan voyage fatiguant intéressant besoin long vacance faire voyage pouvoir plan long vacance gaspillage temps aller passer faire jouer smartphone lit canapé valoir mieux jour week end court savoir chérir temps pouvoir faire plan mettre oeuvre motiver faire nettoyage sport étudier jouer mahjong nager lire roman internet aimer jouer volley étranger loin ami équipe tendance faire chose pouvoir faire aimer jouer volley sortir ami,1
préférer possibilité passer temps famille ami jouer jeu société discuter faire barbecue vouloir voyager bord mer accumuler solei passer temps hotel fênetre panaromique donner sapin enneigé préférer activité calme chaleureux lecture thé café côté visité musée théâtre actif énergivore jogging badminton voleyball jeu petit soeur petit neveu faire sport jogging jouer volleyball badminton apprendre langue étranger grand fan celer lire livre regarder film visiter musée théâtre regarder vidéo humoristique faire blague écouter musique ami famille coudre vêtement ensiegner français,1
baigner spring adorer eau vue paysage,1
découverte lieu histoire lieu rencontre local flemme aller plage bleu vouloir imprégner espace découverte spécialement aimer rester passer extérieur convier sortir ami aller cinéma manger aimer entourer passer temps favori,1
dépendre année quantité travail fan grand voyage déranger quitter pays aimer ami petit location groupe 5 6 ami savoir respecter limite mo environnement parfait idéalement plage fan activité culturel visiter musée monument groupe genre chose préférer faire vacance groupe tendre avantage chill plage aimer faire faire 3 instrument dessiner lire uniquement instruire lire philo pratiquer sport prendre plaisir faire chose occasion vanter mdr,1
préférer amuser ami faire voyage falloir profiter temps amuser hhh sortir ami regarder film,1
journée gérer travail dur journée voyage commando journée coucher maison cuisiner tranquillement cuisiner couper vidéo voyager,1
